length_nm,ngm_id,nft
900,3.653,2104000000
900,3.56,2125000000
900,3.47,2144000000
900,3.383,2162000000
900,3.298,2178000000
900,3.216,2192000000
900,3.136,2205000000
900,3.058,2216000000
900,2.982,2226000000
900,2.908,2233000000
900,2.836,2240000000
900,2.766,2244000000
900,2.698,2247000000
900,2.631,2248000000
900,2.566,2248000000
900,2.503,2247000000
900,2.442,2244000000
900,2.383,2240000000
900,2.325,2234000000
900,2.268,2228000000
900,2.214,2220000000
900,2.161,2212000000
900,2.11,2203000000
900,2.06,2192000000
900,2.012,2181000000
900,1.965,2170000000
900,1.92,2158000000
900,1.876,2145000000
900,1.833,2132000000
900,1.792,2118000000
1080,23.35,71120000
1080,23.03,83550000
1080,22.66,97700000
1080,22.23,113800000
1080,21.73,132100000
1080,21.17,152900000
1080,20.55,176400000
1080,19.87,202500000
1080,19.16,231500000
1080,18.41,263000000
1080,17.64,297000000
1080,16.86,333100000
1080,16.08,371000000
1080,15.31,410300000
1080,14.57,450500000
1080,13.85,491300000
